,node_id,project_id,vsn,address,lat,lon,description,start_timestamp,end_timestamp,x,y,612_1,612_2,612_3,612_4,612_5,612_6,612_7,705_1,705_2,705_3,705_4,705_5,705_6,705_7,831_1,831_2,831_3,831_4,831_5,831_6,831_7,1009_1,1009_2,1009_3,1009_4,1009_5,1009_6,1009_7
0,001e0610ba46,AoT_Chicago,004,State St & Jackson Blvd Chicago IL,41.878377,-87.627678,AoT Chicago (S) [C],2017/10/09 00:00:00,,447918.216810211,4636463.148653064,12086,12515,14956,15272,20645,16908,14083,11271,11845,13981,14258,19563,16344,13487,11894,12551,13558,14487,18749,15535,13386,10448,10986,11727,12020,13926,12507,11022
1,001e0610ba3b,AoT_Chicago,006,18th St & Lake Shore Dr Chicago IL,41.858136,-87.616055,AoT Chicago (S),2017/08/08 00:00:00,,448866.51537378103,4634208.863039118,11429,11876,12916,13415,18929,16479,13987,10375,10830,12521,12857,18538,15920,13489,10978,11395,12201,12509,18556,16313,13511,11081,11367,11996,12118,17627,15330,12819
2,001e0610f02f,AoT_Chicago,00A,Lake Shore Drive & Fullerton Ave Chicago IL,41.9262614,-87.6307578,AoT Chicago (S) [CA],2018/05/07 00:00:00,,447701.7586854233,4641781.51687817,8723,9451,11357,11114,19700,16069,13296,7950,8507,10180,9987,18766,15356,12163,8518,9058,10349,10426,17241,15975,12623,8113,8739,9974,9862,16989,14589,11775
3,001e0610ba8f,AoT_Chicago,00D,Cornell & 47th St Chicago IL,41.810342,-87.590228,AoT Chicago (S),2017/08/08 00:00:00,,450973.74301248696,4628887.413355855,9652,9860,10790,10237,19764,13874,11396,9235,9345,10411,10120,17707,13367,11077,9028,9293,10026,9789,16943,13199,10872,9164,9379,10046,9850,14587,12197,10236
4,001e0610ba16,AoT_Chicago,010,Homan Ave & Roosevelt Rd Chicago IL,41.866349,-87.710543,AoT Chicago (S) [C],2018/07/18 00:00:00,,441031.3753973261,4635181.316630179,10376,10775,11814,12286,13745,15093,14345,10254,10715,11602,12130,13625,14682,13688,10034,10583,11311,11842,13309,14203,13379,10052,10435,11459,11799,13299,13620,12597
5,001e06107e5d,AoT_Chicago,014,State St & Washington St Chicago IL,41.88320529999999,-87.6277685,AoT Chicago (T),2016/09/14 00:00:00,,447914.62875177385,4636999.276585132,10623,11331,12822,13483,14613,15489,14710,10049,10921,12408,12849,15767,15745,14058,9528,9886,10834,10967,11861,12909,11691,9060,9480,9965,9839,10554,9998,9247
6,001e0610ba8b,AoT_Chicago,018,Stony Island Ave & 63rd St Chicago IL,41.7806,-87.58645600000001,AoT Chicago (S) [C],2018/02/26 00:00:00,,451264.53180395707,4625583.146599644,10108,10240,11309,11119,18252,15030,13079,10313,10586,11117,11328,16285,14216,12252,10096,10491,11299,11766,15403,14791,12462,9805,10105,10813,10827,15333,13840,11724
7,001e0610ba13,AoT_Chicago,01C,7801 S Lawndale Ave Chicago IL,41.751238,-87.71299,AoT Chicago (S) [C] {ComEd},2018/01/01 00:00:00,,440722.26729257405,4622402.673001402,14944,15963,17599,18930,21172,21591,18961,14007,14874,17038,18262,20415,21433,19038,13795,15126,15932,17133,19510,20310,17245,12510,13439,15337,16002,17508,19431,17160
8,001e0610ba18,AoT_Chicago,01D,Damen Ave & Cermak Chicago IL,41.852179,-87.675825,AoT Chicago (S),2017/12/15 00:00:00,,443900.28596947185,4633584.798464241,10950,11408,12845,13233,14462,15787,14933,10750,11236,12046,12595,13469,14965,14016,10416,10855,12071,12684,13825,14131,13258,9879,10274,11064,11260,13011,13260,12424
9,001e0610bc10,AoT_Chicago,01F,State St & 87th Chicago IL,41.736314,-87.624179,AoT Chicago (S) [C],2018/02/22 00:00:00,,448093.999439458,4620688.364162039,10772,11794,13060,13696,15956,15328,13993,9945,10628,12189,12599,15042,15139,13824,9711,10217,11155,11546,12831,13133,12234,9830,10342,11307,11673,12760,12947,11924
